阿党比周	a'dang'bi'zhou	相互勾结，相互偏袒，结党营私。
鞭丝帽影	bian'si'mao'ying	马鞭和帽子。借指出游。
鞭约近里	bian'yue'jin'li	又作：鞭辟近里。
抃风儛润	bian'feng'wu'run	欢舞于和风时雨中。指庆幸沾受恩惠。
便宜从事	bian'yi'cong'shi	谓可斟酌情势，不拘规制条文，不须请示，自行处理。
便宜施行	bian'yi'shi'xing	见“便宜从事”。
便宜行事	bian'yi'xing'shi	见“便宜从事”。
变本加厉	bian'ben'jia'li	原意是在本来的基础上更加发展。后多形容情况比原来更加严重。语本南朝梁萧统《〈文选〉序》：“盖踵其事而增华，变其本而加厉，物既有之，文亦宜然”。
变动不居	bian'dong'bu'ju	谓事物不断变化，没有固定的形态。
变风改俗	bian'feng'gai'su	见“变风易俗”。
变风易俗	bian'feng'yi'su	改变旧的风气和习俗。
变躬迁席	bian'gong'qian'xi	移动身体，离开席位。表示谦恭。
变古乱常	bian'gu'luan'chang	更改或打乱祖宗常法。
变古易常	bian'gu'yi'chang	改变过去的法制和习俗。语本《韩非子·南面》：“不知治者，必曰：‘无变古，毋易常。’”
变古易俗	bian'gu'yi'su	犹变古易常。
变故易常	bian'gu'yi'chang	同“变古易常”。
变化不测	bian'hua'bu'ce	变化无常，无法捉摸。
变化不穷	bian'hua'bu'qiong	见“变化无穷”。
变化莫测	bian'hua'mo'ce	见“变化不测”。
变化无常	bian'hua'wu'chang	谓变化不定，无规律可循。
变化无穷	bian'hua'wu'qiong	变化多种多样，没有穷尽。极言变化之多。
变幻不测	bian'huan'bu'ce	见“变幻莫测”。
变幻莫测	bian'huan'mo'ce	变化无常，无法捉摸。
变幻无穷	bian'huan'wu'qiong	形容变化之奇异和繁多。
变醨养瘠	bian'li'yang'ji	谓使薄酒变醇，瘠土变得肥沃。比喻改变贫穷落后面貌。
变脸变色	bian'lian'bian'se	见“变颜变色”。
变容改俗	bian'rong'gai'su	改变风貌习俗。
变生不测	bian'sheng'bu'ce	意外地发生变故。
变生肘腋	bian'sheng'zhou'ye	比喻变乱发生在内部或身旁。语本《三国志·蜀志·法正传》：“亮答曰：‘主公之在公安也，北畏曹公之彊，东惮孙权之逼，近则惧孙夫人生变於肘腋之下，当斯之时，进退狼跋。’”
变俗易教	bian'su'yi'jiao	改变原有的习俗和教化。
变态百出	bian'tai'bai'chu	形容事物形态变化之多。
变贪厉薄	bian'tan'li'bao	谓改变、劝勉贪图财利、行为轻薄的人使之廉洁忠厚。
变心易虑	bian'xin'yi'lv	改变思想；改变打算。
变炫无穷	bian'xuan'wu'qiong	犹变幻无穷。
变颜变色	bian'yan'bian'se	谓因内心惊、惧、急、怒而改变面色。
遍地开花	bian'di'kai'hua	比喻好事情到处涌现或普遍发展。
遍体鳞伤	bian'ti'lin'shang	①谓满身都是伤痕。形容伤势重。②比喻破坏严重，到处可见。
辨日炎凉	bian'ri'yan'liang	古代传说中辩论太阳离地远近的故事。《列子·汤问》：“孔子东游，见两小兒辩斗。问其故，一兒曰：‘我以日始出时去人近，而日中时远。’一兒曰：‘我以日初出远，而日中时近也。’一兒曰：‘日初出，大如车盖，及日中，则如盘盂：此不为远者小而近者大乎？’一兒曰：‘日初出，沧沧凉凉；及其日中，如探汤：此不为近者热而远者凉乎？’孔子不能决也。”后因以“辨日炎凉”谓兒童的聪明早慧。
辨如悬河	bian'ru'xuan'he	又作：口若悬河。辨，通“辩”。
辨若悬河	bian'ruo'xuan'he	见“辨如悬河”。
辨物居方	bian'wu'ju'fang	辨别众物的性质、条件等因素，使之各得其所。
辩才无碍	bian'cai'wu'ai	①佛教语。指佛、菩萨等讲解佛法道理圆通，言词流暢，毫无障碍。②泛指能言善辩。
辩才无阂	bian'cai'wu'he	同“辩才无碍”。
辩口利辞	bian'kou'li'ci	同“辩口利舌”。
辩口利舌	bian'kou'li'she	能言善辩，伶牙利嘴。
标情夺趣	biao'qing'duo'qu	谓传情逗趣。
标同伐异	biao'tong'fa'yi	谓助同道伐异己。
标新创异	biao'xin'chuang'yi	同“标新立异”。
标新竞异	biao'xin'jing'yi	同“标新立异”。
标新立异	biao'xin'li'yi	南朝宋刘义庆《世说新语·文学》：“支道林在白马寺中，将冯太常共语，因及《逍遥》，支卓然标新理於二家之表，立异义於众贤之外。”谓支解释《庄子·逍遥游》篇，有新的独到见解，与郭象、向秀诸家不同。后因以“标新立异”谓提出新的见解，表示与众不同。
标新领异	biao'xin'ling'yi	同“标新立异”。
标新竖异	biao'xin'shu'yi	同“标新立异”。
标枝野鹿	biao'zhi'ye'lu	《庄子·天地》：“至治之世，不尚贤，不使能，上如标枝，民如野鹿。”标枝，树梢之枝，比喻上古之世在上之君恬淡无为；野鹿，比喻在下之民放而自得。后因以“标枝野鹿”指太古时代。
膘肥体壮	biao'fei'ti'zhuang	形容牲畜肥壮结实。
飙发电举	biao'fa'dian'ju	形容声势迅猛。
飙举电至	biao'ju'dian'zhi	形容声势迅猛。
表里如一	biao'li'ru'yi	比喻思想和言行完全一致。
表里山河	biao'li'shan'he	《左传·僖公二八年》：“子犯曰：‘战也。战而捷，必得诸侯。若其不捷，表里山河，必无害也。’”杜预注：“晋国外河而内山。”后以谓有山河天险作为屏障。
表里为奸	biao'li'wei'jian	亦作“表里为奸”。内外互相勾结，施行奸计。
表里为奸	biao'li'wei'jian	见“表里为奸”。
表里相符	biao'li'xiang'fu	犹表里如一。
表里相依	biao'li'xiang'yi	谓关系密切，互相依存。
表里相应	biao'li'xiang'ying	内外互相应合。
表里一致	biao'li'yi'zhi	犹表里如一。
别抱琵琶	bie'bao'pi'pa	指改嫁。亦指移情他人。
别财异居	bie'cai'yi'ju	犹别籍异财。
别出机杼	bie'chu'ji'zhu	犹别出心裁。
别出手眼	bie'chu'shou'yan	见“别具手眼”。
别出心裁	bie'chu'xin'cai	亦作“别出新裁”。独创一格，与众不同。
别出新裁	bie'chu'xin'cai	见“别出心裁”。
别出新意	bie'chu'xin'yi	犹别出心裁。
别创一格	bie'chuang'yi'ge	亦作“别开一格”。谓开创一种新的风格或形式。
别风淮雨	bie'feng'huai'yu	南朝梁刘勰《文心雕龙·练字》：“《尚书大传》有‘别风淮雨’，《帝王世纪》云‘列风淫雨’。‘别’、‘列’、‘淮’、‘淫’，字似潜移。‘淫’、‘列’，义当而不奇，‘淮’、‘别’，理乖而新异。”后称用讹字以求新异为“别风淮雨”。
别鹤孤鸾	bie'he'gu'luan	比喻离散的夫妻。
别鹤离鸾	bie'he'li'luan	见“别鹤孤鸾”。
别籍异财	bie'ji'yi'cai	另立门户，各蓄家产。
别籍异居	bie'ji'yi'ju	另立门户，彼此分居。
别居异财	bie'ju'yi'cai	犹别籍异财。
别具肺肠	bie'ju'fei'chang	同“别有肺肠”。
别具匠心	bie'ju'jiang'xin	构思巧妙，与众不同。
别具手眼	bie'ju'shou'yan	亦作“别出手眼”。具有独到的眼光和手法。
别具心肠	bie'ju'xin'chang	同“别有肺肠”。
别具一格	bie'ju'yi'ge	具有独特的风格。
别具只眼	bie'ju'zhi'yan	具有独到的见解。
别开蹊径	bie'kai'xi'jing	另辟新路；独创一格。
别开生面	bie'kai'sheng'mian	唐杜甫《丹青引》：“凌烟功臣少颜色，将军下笔开生面。”赵次公注：“凌烟画像颜色已暗，而曹将军重为之画，故云开生面。”后因称开创新的风格、形式为“别开生面”。
别开一格	bie'kai'yi'ge	见“别创一格”。
别类分门	bie'lei'fen'men	按一定标准分成门类。
别生枝节	bie'sheng'zhi'jie	比喻另起事端或平添麻烦。
别树一旗	bie'shu'yi'qi	见“别树一帜”。
别树一帜	bie'shu'yi'zhi	亦作“别树一旗”。比喻与众不同，另成一家。
别无长物	bie'wu'chang'wu	没有多余的东西。后多形容空无所有。语出南朝宋刘义庆《世说新语·德行》：“王恭从会稽还，王大看之。见其坐六尺簟，因语恭：‘卿东来，故应有此物，可以一领及我。’恭无言，大去后，即举所坐者送之。既无馀席，便坐荐上。后大闻之，甚惊，曰：‘吾本谓卿多，故求耳。’对曰：‘丈人不悉恭，恭作人无长物。’”
别无二致	bie'wu'er'zhi	谓区分不出两者的差别。
别有洞天	bie'you'dong'tian	①谓尘世之外，另有仙境。洞天，道教用以称仙人所居之处。②另开一种境界。
别有肺肠	bie'you'fei'chang	语出《诗·大雅·桑柔》：“自有肺肠，俾民卒狂。”郑玄笺：“自有肺肠，行其心中之所欲。”后因以“别有肺肠”谓另有打算或企图。
别有风味	bie'you'feng'wei	另有特色。比喻事物具有特殊的风采或味道。
别有人间	bie'you'ren'jian	犹别有天地。
别有天地	bie'you'tian'di	另有一种境界。
别有心肠	bie'you'xin'chang	犹别有肺肠。
别有心肝	bie'you'xin'gan	犹别有肺肠。
别有用心	bie'you'yong'xin	①另外使用心力。②谓另有不可告人的企图。
别置一喙	bie'zhi'yi'hui	插一句嘴。比喻提出不同意见。
别作良图	bie'zuo'liang'tu	另作好的打算。
别作一眼	bie'zuo'yi'yan	谓另眼（相看）。
宾饯日月	bin'jian'ri'yue	迎送。宾，通“儐”。语出《书·尧典》：“分命羲仲，宅嵎夷，曰鲿[谷。寅宾出日，平秩东作。”又：“分命和仲，宅西，曰昧谷。寅饯纳日，平秩西成。”后多以“宾饯日月”谓岁月流逝。
宾来如归	bin'lai'ru'gui	见“宾至如归”。
宾入如归	bin'ru'ru'gui	见“宾至如归”。
宾至如归	bin'zhi'ru'gui	谓宾客到此如归其家。形容待客亲切、周到。
彬彬济济	bin'bin'ji'ji	人才盛多貌。
彬彬有礼	bin'bin'you'li	文雅而有礼貌。
冰寒于水	bing'han'yu'shui	《荀子·劝学》：“青，取之于蓝，而青于蓝；冰，水为之，而寒于水。”后遂以“冰寒于水”指后来居上。于，也写作“於”。
冰寒於水	bing'han'yu'shui	见“冰寒于水”。
冰魂素魄	bing'hun'su'po	同“冰魂雪魄”。
冰魂雪魄	bing'hun'xue'po	形容清白纯洁的品质。
冰肌玉骨	bing'ji'yu'gu	形容女子洁美的体肤。
冰洁玉清	bing'jie'yu'qing	同“冰清玉洁”。
冰洁渊清	bing'jie'yuan'qing	犹冰清玉洁。
冰解的破	bing'jie'di'po	冰冻融解，箭靶射中。比喻问题解决，障碍消除。
冰解冻释	bing'jie'dong'shi	比喻障碍和困难像冰融那样消释。
冰解壤分	bing'jie'rang'fen	冰冻消融，土壤分解。比喻障碍消除。
冰解云散	bing'jie'yun'san	同“冰消雾散”。
冰壸秋月	bing'kun'qiu'yue	喻人品德清白廉洁。
冰清水冷	bing'qing'shui'leng	冷冷清清。
冰清玉粹	bing'qing'yu'cui	同“冰清玉洁”。
冰清玉洁	bing'qing'yu'jie	比喻德行高洁。
冰清玉润	bing'qing'yu'run	①《世说新语·言语》“卫洗马初欲渡江”南朝梁刘孝标注引《卫玠别传》：“世咸谓诸王三子，不如卫家一恚娶乐广女。裴叔道曰：‘妻父有冰清之资，婿有璧润之望，所谓秦晋之匹也。’”《晋书·卫玠传》作“妇公冰清，女婿玉润”。后遂以“冰清玉润”为翁婿的美称。②比喻人品高洁。
冰散瓦解	bing'san'wa'jie	同“冰消瓦解”。
冰炭不同炉	bing'tan'bu'tong'lu		同“冰炭不同器”。
冰炭不同器	bing'tan'bu'tong'qi		比喻两种对立的事物不能同处。
冰天雪地	bing'tian'xue'di	冰雪漫天盖地。形容极为寒冷。
冰天雪窖	bing'tian'xue'jiao	同“冰天雪地”。
冰消冻解	bing'xiao'dong'jie	同“冰消瓦解”。
冰消瓦解	bing'xiao'wa'jie	比喻事物消失或崩溃。
冰消雾散	bing'xiao'wu'san	亦作“冰销雾散”。比喻事物消失瓦解。
冰消雪释	bing'xiao'xue'shi	同“冰消雾散”。
冰消云散	bing'xiao'yun'san	同“冰消雾散”。
冰销雾散	bing'xiao'wu'san	见“冰消雾散”。
冰销叶散	bing'xiao'ye'san	犹冰消瓦解。
冰雪聪明	bing'xue'cong'ming	形容人聪颖。
兵不接刃	bing'bu'jie'ren	作战时兵器没接触，谓战事顺利，未经交锋或激战而取得胜利。
兵不汙刃	bing'bu'wu'ren	犹兵不血刃。
兵不血刃	bing'bu'xue'ren	兵器上没有沾血，谓战事顺利，末经交锋或激战而取得胜利。
兵不厌诈	bing'bu'yan'zha	语本《韩非子·难一》：“战阵之閒，不厌诈伪。”《后汉书·虞诩传》亦有“兵不厌权”之语，后以“兵不厌诈”谓用兵作战时当尽量使用欺诈等计谋来迷惑敌人。
兵藏武库，马入华山	bing'cang'wu'ku'-'ma'ru'hua'shan	入华山】	兵器藏进武库，军马放入华山。谓天下太平。
兵贵神速	bing'gui'shen'su	①用兵以行动特别迅速为贵。语本《孙子·九地》：“兵之情主速。”②比喻处事以特别迅速为贵。
兵贵先声	bing'gui'xian'sheng	语本《史记·淮阴侯列传》：“兵固有先声而后实者，此之谓也。”后因以“兵贵先声”谓用兵贵在先以自己的声威慑服敌人。
兵荒马乱	bing'huang'ma'luan	形容战时动荡不安的景象。
兵慌马乱	bing'huang'ma'luan	见“兵荒马乱”。
兵来将挡，水来土掩	bing'lai'jiang'dang'-'shui'lai'tu'yan	来土掩】	见“兵来将敌，水来土堰”。
兵来将敌，水来土堰	bing'lai'jiang'di'-'shui'lai'tu'yan	来土堰】	谓根据具体情况，采取灵活的对付办法。
兵来将迎，水来土堰	bing'lai'jiang'ying'-'shui'lai'tu'yan	来土堰】	见“兵来将敌，水来土堰”。
兵连祸接	bing'lian'huo'jie	见“兵连祸结”。
兵连祸结	bing'lian'huo'jie	战争、灾祸连续不断。
兵临城下	bing'lin'cheng'xia	敌兵已到城墙之下。指大军压境，已遭围困，形势十分危急。
兵马未动，粮草先行	bing'ma'wei'dong'-'liang'cao'xian'xing	草先行】	作战时兵马还没出动，军用粮草的运输要先行一步。后泛指行动前须作好准备工作。
兵拏祸结	bing'na'huo'jie	见“兵连祸结”。
兵强马壮	bing'qiang'ma'zhuang	①士兵、军马强壮。指军队强大，有战斗力。②泛指强壮有力。
兵强则灭	bing'qiang'ze'mie	谓依恃军队强盛则毁灭。
兵戎相见	bing'rong'xiang'jian	指发生武装冲突。
兵未血刃	bing'wei'xue'ren	犹兵不血刃。
兵闻拙速	bing'wen'zhuo'su	谓用兵打仗当求速胜而患普椒ǖ那勺尽
兵无常势	bing'wu'chang'shi	用兵作战没有固定不变的方式。谓当根据敌情，采取灵活对策而取胜。
兵无常形	bing'wu'chang'xing	见“兵无常势”。
兵无血刃	bing'wu'xue'ren	同“兵不血刃”。
兵销革偃	bing'xiao'ge'yan	销毁兵器，放下甲盾。谓太平无战事。
兵行诡道	bing'xing'gui'dao	用兵可以实行诡异和诈伪的战法。语本《孙子·计》：“兵者，诡道也。”曹操注：“兵无常形，以诡诈为道。”
兵凶战危	bing'xiong'zhan'wei	语出汉晁错《言兵事疏》：“虽然，兵，凶器；战，危事也。故以大为小，以彊为弱，在俛卬之间耳。”后以“兵凶战危”谓战事凶险可怕。
秉公灭私	bing'gong'mie'si	主持公道，灭除私念。
秉公任直	bing'gong'ren'zhi	持心公正，处事正直。
秉节持重	bing'jie'chi'zhong	保持节操，谨慎稳重。
秉钧持轴	bing'jun'chi'zhou	执政掌权。
秉钧当轴	bing'jun'dang'zhou	又作：秉钧持轴。
秉文兼武	bing'wen'jian'wu	又作：能文能武。
秉文经武	bing'wen'jing'wu	执掌文事，经营武备。
秉要执本	bing'yao'zhi'ben	掌握要旨和根本。
秉正无私	bing'zheng'wu'si	主持正义，没有私念。
秉烛待旦	bing'zhu'dai'dan	执烛以待天明。言心情迫切，夜不能寐。
秉烛夜游	bing'zhu'ye'you	持烛夜游。谓须及时行乐。
炳如观火	bing'ru'guan'huo	见“炳若观火”。
炳若观火	bing'ruo'guan'huo	形容看得清楚明白。
并存不悖	bing'cun'bu'bei	同时存在而不冲突。
并驾齐驱	bing'jia'qi'qu	齐头并进。比喻彼此力量、地位、才能等不相上下。
并驾齐驱	bing'jia'qi'qu	齐头并进。比喻彼此力量、地位、才能等不相上下。
并疆兼巷	bing'jiang'jian'xiang	形容屋宅广大。
并驱争先	bing'qu'zheng'xian	谓竞争高下。
并日而食	bing'ri'er'shi	两天用一天的食粮。形容生活艰苦。
并容徧覆	bing'rong'bian'fu	广为包容覆庇。喻德化之广。
并世无两	bing'shi'wu'liang	犹举世无双。
并威偶势	bing'wei'ou'shi	谓聚集声威势力。
并行不悖	bing'xing'bu'bei	《礼记·中庸》：“万物并育而不相害，道并行而不相悖。”后以“并行不悖”指同时进行或同时存在而不相冲突。
并行不悖	bing'xing'bu'bei	《礼记·中庸》：“万物并育而不相害，道并行而不相悖。”后以“并行不悖”指同时进行或同时存在而不相冲突。
病从口入	bing'cong'kou'ru	谓疾病起于饮食不慎。
病笃乱投医	bing'du'luan'tou'yi		同“病急乱投医”。
病风丧心	bing'feng'sang'xin	同“病狂丧心”。
病国殃民	bing'guo'yang'min	又作：祸国殃民。
病急乱投医	bing'ji'luan'tou'yi		病情危急不审医术善否即求诊治。亦以喻事势危急盲目求援。
病入膏肓	bing'ru'gao'huang	谓病情险恶无法医治。亦以喻事势严重无可挽救。语本《左传·成公十年》：“公疾病，求医于秦。秦伯使医缓为之。未至，公梦疾为二竖子，曰：‘彼良医也，惧伤我，焉逃之。’其一曰：‘居肓之上，膏之下，若我何？’医至，曰：‘疾不可为也，在肓之上，膏之下，攻之不可，达之不及，药不至焉，不可为也。’公曰：‘良医也。’厚为之礼而归之。”
拨草寻蛇	bo'cao'xun'she	①比喻执意寻找。②比喻招惹恶人自找麻烦。
拨草瞻风	bo'cao'zhan'feng	喻善于观察事物。
拨乱反正	bo'luan'fan'zheng	治理混乱的局面，使恢复正常。语本《公羊传·哀公十四年》：“拨乱世，反诸正，莫近诸《春秋》。”何休注：“拨，犹治也。”
拨乱反治	bo'luan'fan'zhi	犹拨乱反正。
拨乱为治	bo'luan'wei'zhi	见“拨乱反治”。
拨万轮千	bo'wan'lun'qian	同“拨万论千”。
拨万论千	bo'wan'lun'qian	形容财产众多，花钱以万千计。
拨雨撩云	bo'yu'liao'yun	同“撩云拨雨”。
拨云见日	bo'yun'jian'ri	喻冲破黑暗，见到光明。
拨嘴撩牙	bo'zui'liao'ya	谓挑拨是非。
波波碌碌	bo'bo'lu'lu	奔走忙碌貌。
波骇云属	bo'hai'yun'shu	犹波属云委。
波谲云诡	bo'jue'yun'gui	①汉扬雄《甘泉赋》：“於是大厦云谲波诡，摧摧而成观。”本喻房屋建筑的千姿百态。后用“波谲云诡”以喻文章如波云变化多致。②喻事物变化多端，难以预料。
波澜壮阔	bo'lan'zhuang'kuo	比喻气势雄壮浩大。
波流茅靡	bo'liu'mao'mi	随波逐流，随风而倒。比喻胸无定见，趋势而行。
波罗塞戏	bo'luo'sai'xi	即双陆。古代游戏，二人相博，类似下棋。
波罗奢花	bo'luo'she'hua	即鸡冠花。
波属云委	bo'shu'yun'wei	如波之相接，云之相叠。比喻连续不断，层见叠出。
剥肤及髓	bao'fu'ji'sui	喻盘剥深重。
剥极必复	bao'ji'bi'fu	见“剥极将复”。
剥极将复	bao'ji'jiang'fu	亦作“剥极则复”。亦作“剥极必复”。剥卦阴盛阳衰，复卦阴极而阳复。后以喻物极必反，否极泰来。
剥极则复	bao'ji'ze'fu	见“剥极将复”。
剥茧抽丝	bao'jian'chou'si	喻根据顺序寻求事物的发生发展过程。
播穅眯目	bo'kang'mi'mu	谓散布糠屑以迷人目。比喻被外物蒙蔽而迷失方向。
播糠眯目	bo'kang'mi'mu	见“播穅眯目”。
伯歌季舞	bo'ge'ji'wu	谓兄弟友爱和好。伯，兄；季，弟。
伯劳飞燕	bo'lao'fei'yan	《玉台新咏·古词〈东飞伯劳歌〉》：“东飞伯劳西飞燕，黄姑织女时相见。”后以“伯劳飞燕”借指离别的亲人或朋友。
伯乐相马	bo'le'xiang'ma	伯乐观察、品评马的优劣。比喻有眼力者鉴别并荐举人才。
伯乐一顾	bo'le'yi'gu	战国时，苏代说淳于髡，谓人有告伯乐曰，臣有骏马欲卖，连三旦立于市，人莫与言；愿子一顾之，请献一朝之费。伯乐乃环而视之，去而顾之，一旦而马价十倍。见《战国策·燕策二》。后以“伯乐一顾”比喻受人知遇赏识。
伯仲之间	bo'zhong'zhi'jian	比喻人或事物不相上下，难分优劣高低。
驳瑕指颣	bo'xia'zhi'lei	指斥缺点。
博大精深	bo'da'jing'shen	谓理论、学识、思想、作品等广博丰富，深奥精微。多用于抽象事物。
博古通今	bo'gu'tong'jin	通晓古今的事情。形容学识渊博。
博览五车	bo'lan'wu'che	谓读书多，学识渊博。
博施济众	bo'shi'ji'zhong	广施恩惠，拯救众民。语出《论语·雍也》：“子财曰：‘如有博施於民而能济众，何如？可谓仁乎？’”
博士买驴	bo'shi'mai'lv	北齐颜之推《颜氏家训·勉学》：“问一言辄酬数百，责其指归，或无要会。郲下谚云：‘博士买驴，书券三纸，未有驴字。’”后以“博士买驴”表示文词繁冗，不得要领的意思。
博硕肥腯	bo'shuo'fei'tu	肥壮。多指六畜肥壮。
博文约礼	bo'wen'yue'li	广求学问，恪守礼法。约，约束。语本《论语·雍也》：“子曰：‘君子博学於文，约之以礼，亦可以弗畔矣夫！’”
博闻强记	bo'wen'qiang'ji	同“博闻强识”。
博闻强识	bo'wen'qiang'shi	见闻广博，记忆力强。
博闻强志	bo'wen'qiang'zhi	同“博闻强识”。
博物君子	bo'wu'jun'zi	博学多识的人。
博物洽闻	bo'wu'qia'wen	见多识广，知识渊博。
博弈犹贤	bo'yi'you'xian	语出《论语·阳货》：“子曰：‘饱食终日，无所用心，难矣哉！不有博弈者乎？为之，犹贤乎已。’”后谓不要饱食终日无所事事为“博弈犹贤”。
渤澥桑田	bo'xie'sang'tian	大海变成桑田，桑田变成大海。比喻世事变化巨大。
踣地呼天	bo'di'hu'tian	又作：呼天抢地。形容极度悲伤。
薄物细故	bao'wu'xi'gu	微细的事情。
跛鳖千里	bo'bie'qian'li	跛脚的鳖不停地走，也能走千里地。比喻只要努力不懈，即使条件很差，也能取得成就。
簸土扬沙	bo'tu'yang'sha	指虚张声势。
簸扬糠粃	bo'yang'kang'bi	见“簸之扬之，穅粃在前”。
簸之扬之，穅粃在前	bo'zhi'yang'zhi'-'kang'bi'zai'qian	粃在前】	①谓扬米去糠，糠在米上。穅，同“糠”。南朝宋刘义庆《世说新语·排调》：“王文度、范荣期俱为简文所要，范年大而位小，王年小而位大，将前，更相推在前，既移久，王遂在范后。王因谓曰：‘簸之扬之，穅粃在前。’范曰：‘洮之汰之，沙砾在后。’”本为调侃之词，谓位卑而居前列。后亦用为谦词，谓无才而居前。穅，亦写作“糠”。②用为出任地方官之谦词。
擘肌分理	bo'ji'fen'li	①喻分析精密。理，肌肉的纹理。②谓苛细。
擘两分星	bo'liang'fen'xing	谓很小的重量都分辨得清清楚楚。喻准确清楚。两，较小的重量单位；星，秤杆上标记斤两的小点子。
餔糟啜漓	bu'zao'chuo'li	见“餔糟歠醨”。
餔糟啜醨	bu'zao'chuo'li	见“餔糟歠醨”。
餔糟歠漓	bu'zao'chuo'li	见“餔糟歠醨”。
餔糟歠醨	bu'zao'chuo'li	亦作“餔糟啜醨”。亦作“餔糟歠漓”。①吃酒糟，喝薄酒。谓追求一醉。语本《楚辞·渔父》：“众人皆醉，何不餔其糟而歠其酾？”《文选》酾作“醨”。吕向云：“餔糟歠醨，微同其事也。餔，食也。歠，饮也。糟、醨，皆酒滓。”洪兴祖补注：“醨，薄酒也。”②比喻屈志从俗；随波逐流。③比喻文字优美，令人陶醉。
补残守缺	bu'can'shou'que	又作：抱残守缺。
补过饰非	bu'guo'shi'fei	掩饰过错。
补苴罅漏	bu'ju'xia'lou	弥补事物的缺陷和漏洞。
补厥挂漏	bu'jue'gua'lou	又作：补苴罅漏。
补牢顾犬	bu'lao'gu'quan	丢失了羊，才修补羊圈；见了野兔，才回头唤狗去追捕。比喻对出现的失误，及时设法补救。语本《战国策·楚策四》：“见兔而顾犬，未为晚也；亡羊而补牢，未为迟也。”
补漏订讹	bu'lou'ding'e	补充缺漏，订正错误。
补偏救弊	bu'pian'jiu'bi	补正偏差，挽救弊病。
补天浴日	bu'tian'yu'ri	古代神话传说，女娲炼石补天和羲和浴日甘渊的并称。见《列子·汤问》、《山海经·大荒南经》。后用以比喻力挽世运功勋卓著或挽回危局。
哺糟啜醨	bu'zao'chuo'li	见“哺糟歠醨”。
哺糟歠醨	bu'zao'chuo'li	亦作“哺糟啜醨”。语本《楚辞·渔父》“众人皆醉，何不餔其糟而歠其醨”。后以“哺糟歠醨”比喻效法时俗，随波逐流。
捕风捉影	bu'feng'zhuo'ying	《汉书·郊祀志下》有“听其言，洋洋满耳，若将可遇，求之，荡荡如系风捕景，终不可得”语。后多作“捕风捉影”。喻虚幻无实或无根据地臆测。
捕影系风	bu'ying'xi'feng	见“捕风捉影”。
不安於室	bu'an'yu'shi	《诗·邶风·凯风序》：“卫之淫风流行，虽有七子之母，犹不能安其室。”郑玄笺：“不安其室，欲去嫁也。”后因以“不安於室”为已婚妇女思涉外遇或寡妇意欲再嫁的婉辞。
不按君臣	bu'an'jun'chen	中医处方，以君臣相配为原则。君是主药，臣是辅药。不按君臣，就是违反药理，胡乱用药。引申为使用毒药的隐语。
不拔一毛	bu'ba'yi'mao	同“一毛不拔”。比喻非常吝啬。
不白之冤	bu'bai'zhi'yuan	得不到辩白、昭雪的冤屈。
不卑不亢	bu'bei'bu'kang	同“不亢不卑”。
不避斧钺	bu'bi'fu'yue	谓不怕杀头。斧钺，古代用以杀人的武器。钺，形似斧而大。语出《汉书·赵充国传》：“愚臣伏计孰甚，不敢避斧钺之诛，昧死陈愚，唯陛下省察。”
不避水火	bu'bi'shui'huo	见“不避汤火”。
不避汤火	bu'bi'tang'huo	指不畏凶险。
不便水土	bu'bian'shui'tu	同“不服水土”。
不辨菽麦	bu'bian'shu'mai	形容愚昧无知。今亦指脱离生产实践，缺乏实际知识。
不辨菽粟	bu'bian'shu'su	犹不辨菽麦。粟，小米。
不辩菽麦	bu'bian'shu'mai	同“不辨菽麦”。
不步人脚	bu'bu'ren'jiao	不跟着别人的脚步走。喻不因循守旧。
不测之忧	bu'ce'zhi'you	意外的祸患。
不测之罪	bu'ce'zhi'zui	指大罪，死罪。
不成体统	bu'cheng'ti'tong	形容办事没有一定的体制、规矩，不成样子。
不逞之徒	bu'cheng'zhi'tu	《左传·襄公十年》：“司马、堵氏、侯氏、子师氏皆丧田焉。故五族聚群不逞之人，因公子之徒以作乱。”后因称犯法为非的人为不逞之徒。
不痴不聋	bu'chi'bu'long	古代谚语。语本《太平御览》卷四九六引《慎子》逸文：“谚云：不聪不明，不能为王；不瞽不聋，不能为公。”本指公卿的度量，后常与“不成姑公”等连用，谓不故作痴呆，不装聋作哑，就不能当好阿婆阿公。意指长辈要宽宏大量。
不耻下问	bu'chi'xia'wen	向地位、学问不如自己的人虚心请教而不认为有失体面。
不偢不倸	bu'chou'bu'cai	①犹不理不睬。②指一切事情都不注意。
不瞅不睬	bu'chou'bu'cai	又作：不理睬。
不揣冒昧	bu'chuai'mao'mei	自谦之词。谓不自量，鲁莽无知。
不存不济	bu'cun'bu'ji	支持不住，受不住。
不打自招	bu'da'zi'zhao	①不用拷问，自己就招认了罪行。②比喻无意中暴露了自己的意图。
不得而知	bu'de'er'zhi	无从知道。
不得开交	bu'de'kai'jiao	同“不可开交”。
不得其所	bu'de'qi'suo	①《穀梁传·成公八年》：“媵，浅事也，不志。此其志何也？以伯姬之不得其所，故尽其事也。”范宁注：“不得其所，谓灾死也。”本指未得善终，后谓没有得到适当的安顿。②不能达到目的。
不得要领	bu'de'yao'ling	没有签订盟约或达成协议。语出《史记·大宛列传》：“骞从月氏至大夏，竟不能得月氏要领。”司马贞索隐引李奇云：“要领，要契也。”
